href	resolved_url	label	is_html	is_external
http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Interrogation_Records.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Interrogation_Records.doc	Протоколы допросов Ягоды	no	yes
http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Confrontation_Records.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Confrontation_Records.doc	Протоколы очных ставок	no	yes
http://perpetrator2004.narod.ru/documents/Yagoda/Prosecutors_Interrogation_Record.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Prosecutors_Interrogation_Record.doc	Протокол допроса обвиняемого Ягоды сотрудниками Прокуратуры СССР – Прокурором СССР А.Я. Вышинским и следователем по важнейшим делам при Прокуроре СССР Шейниным	no	yes
http://perpetrator2004.narod.ru/documents/Yagoda/Kirshon_s_Report_on_Yagoda_s_Behavior_in_Prison.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Kirshon_s_Report_on_Yagoda_s_Behavior_in_Prison.doc	Сообщение В.М. Киршона о поведении Ягоды в тюрьме	no	yes
http://perpetrator2004.narod.ru/documents/Yagoda/Shothand_Record_of_Closed_Session.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Shothand_Record_of_Closed_Session.doc	Стенографический протокол закрытого судебного заседания Военной коллегии Верховного суда СССР 9 марта 1938 года	no	yes
http://perpetrator2004.narod.ru/documents/kirov/picb_621.gif	http://perpetrator2004.narod.ru/documents/kirov/picb_621.gif	Ситуационная схема	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc	http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc	Протоколы допроса Николаева от 1 и 3 декабря 1934 г	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record.doc	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record.doc	Протокол допроса Котолынова от 19 декабря 1934 г	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_s_Statement_re_Indictment.doc	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_s_Statement_re_Indictment.doc	Заявление Котолынова от 27 декабря 1934 г.	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc	http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc	Документы на Ханика. Ордер на арест, протоколы допросов на следствии, постановление о привлечении в качестве обвиняемого	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Professor_Dembo_s_Letter.doc	http://perpetrator2004.narod.ru/documents/kirov/Professor_Dembo_s_Letter.doc	Письмо профессора Дембо в комиссию Политбюро	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Salkov_Statement.doc	http://perpetrator2004.narod.ru/documents/kirov/Salkov_Statement.doc	Воспоминания эксперта-криминалиста Салькова	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Kotolynov_et_al.doc	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Kotolynov_et_al.doc	Протоколы допросов на суде. Котолынов и др	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Khanik.doc	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Khanik.doc	Допрос Ханика на суде	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Special_Reports_to_Yagoda.doc	http://perpetrator2004.narod.ru/documents/kirov/Special_Reports_to_Yagoda.doc	Спецсообщения Ягоде о ходе расследования убийства и суда по делу об убийстве	no	yes
http://perpetrator2004.narod.ru/documents/kirov/Volkova_s_Letter_Verification.doc	http://perpetrator2004.narod.ru/documents/kirov/Volkova_s_Letter_Verification.doc	Из письма М. Н. Волковой в ЦК КПСС о событиях, предшествовавших убийству С. М. Кирова. Из записки КГБ при СМ СССР в ЦК КПСС о проверке письма М. Н. Волковой	no	yes
http://www.ucoz.ru/	http://www.ucoz.ru/		no	yes
