person_a	person_b	document_count
Д.А. Аникиным	С.Н. Бограчевым	1
А.В. Герцберга	Г.И. Сафаровым	1
И.И. Тарасовым	Л.Я. Файвиловичем	1
И.С. Горшениным	Я.В. Шарова	1
Г.Ф. Попова	П.П. Северовым	1
Б.Н. Сахова	Г.И. Сафаровым	1
А.В. Румянцева	Сталин	1
Г.Ф. Попова	П.А. Коркину	1
Г.Г. Ягода	С.С. Зорина	1
А.Г. Шляпникова	Г.Г. Ягода	1
Г.Г. Ягода	Н.А. Емельянова	1
С.С. Зорина	Сталин	1
А.Г. Шляпникова	Сталин	1
Н.А. Емельянова	Сталин	1
И.Т. Смилги	Сталин	1
А.Г. Шляпникова	С.С. Зорина	1
Н.А. Емельянова	С.С. Зорина	1
И.Т. Смилги	С.С. Зорина	1
А.Г. Шляпникова	Н.А. Емельянова	1
А.Г. Шляпникова	И.Т. Смилги	1
И.Т. Смилги	Н.А. Емельянова	1
А.С. Куклиным	Г.Ф. Федоровым	1
А.И. Анишевым	А.М. Гертика	1
Г.Б. Синани-Скалов	Л.И. Мадьяром	1
Г.Е. Евдокимова	Л.А. Шацкина	1
Каменев	Л.А. Шацкина	1
Г.Е. Евдокимова	Каменев	1
А.С. Енукидзе	Сталин	1
В.В. Ломинадзе	Сталин	1
В.В. Ломинадзе	Каменев	1
В.В. Ломинадзе	Г.И. Сафарова	1
А.И. Толмазовым	И.И. Котолыновым	1
В.В. Румянцевым	Н.С. Антоновым	1
В.С. Левина	Н.П. Мясниковым	1
Л.И. Сосицким	Н.П. Мясниковым	1
Киров	Л.И. Сосицким	1
И.К. Наумова	Сокольников	1
И.К. Наумова	Сталин	1
В.В. Румянцевым	И.И. Тарасовым	1
Агранов	И.П. Бакаева	1
Л.В. Николаевым	Н.Н. Шатским	1
И.Г. Юскина	Л.В. Николаевым	1
Г.В. Соколовым	Л.В. Николаевым	1
В.В. Румянцева	Сталин	1
В.В. Румянцевым	Н.П. Мясниковым	1
В.И. Звездовым	Г.В. Соколовым	1
И.И. Котолыновым	Л.В. Николаевым	1
В.И. Звездовым	Н.С. Антоновым	1
И.И. Котолыновым	Н.С. Антоновым	1
Г.Г. Ягода	Г.И. Сафарова	1
Зиновьев	Каменев	1
Г.И. Сафарова	Зиновьев	1
Бухарин	Г.К. Орджоникидзе	1
Сталин	Ф.Д. Корнюшина	1
И.Э. Якире	Ф.Д. Корнюшина	1
И.Э. Якире	Сталин	1
М.П. Прибыловского	Сталин	1
Зиновьев	М.П. Прибыловского	1
Ежов	П.Н. Рокоса	1
П.Н. Рокоса	Сталин	1
Ежов	С.А. Гоглидзе	1
С.А. Гоглидзе	Сталин	1
В.Д. Томленова	Ежов	1
В.Д. Томленова	Сталин	1
В.Н. Слепкова	Ежов	1
В.Н. Слепкова	Сталин	1
Ежов	М.А. Розенцвейга	1
М.А. Розенцвейга	Сталин	1
Ежов	К.А. Оганесова	1
К.А. Оганесова	Сталин	1
Ежов	С.В. Носова	1
С.В. Носова	Сталин	1
Ежов	С.П. Калашникова	1
С.П. Калашникова	Сталин	1
М.С. Окуджавы	С.А. Гоглидзе	1
Д.П. Розита	Ежов	1
Д.П. Розита	Сталин	1
Ежов	Я.Ю. Харита	1
Сталин	Я.Ю. Харита	1
Г.А. Татуловым	С.Х. Варданиана	1
Л.С. Тер-Минасов	С.Х. Варданиана	1
В.Н. Яковлевой	М.Ф. Шкирятову	1
В.Н. Яковлевой	Сталин	1
К.Д. Мучниковым	М.В. Бурштейном	1
М.В. Бурштейном	М.М. Домбровским	1
Ежов	С.С. Раввы	1
