entity_a	entity_b	document_count
Г.Б. Синани-	Г.Г. Ягоды	1
Г.Г. Ягоды	Н.Б. Скаловой	1
Ежов	Н.Б. Скаловой	1
Г.Г. Ягоды	Н.Б. Розенфельда	1
Е.Д. Соколовой	М.Ф. Шкирятову	1
Е.Д. Соколовой	КПК	1
Е.Д. Соколовой	положении	1
Е.Д. Соколовой	правительственной	1
КПК	положении	1
В.Д. Вуйовичем	Г.Г. Ягоды	1
В.Д. Вуйовичем	Ежов	1
В.Д. Вуйовичем	Зиновьев	1
А.Л. Голоступеца	качестве	1
Г.Г. Ягоды	М.М. Михайлова	1
Ежов	М.М. Михайлова	1
Ежов	Политбюро	1
Ежов	секретным	1
З.М. Беленького	Политбюро	1
З.М. Беленького	секретным	1
Политбюро	результатах	1
Политбюро	секретным	1
результатах	секретным	1
Ежов	М.Ф. Шкирятова	1
Ежов	ЦИК	1
М.Ф. Шкирятова	ЦИК	1
З.М. Беленького	ЦИК	1
Сталин	ЦИК	1
ЦИК	результатах	1
М.Б. Черномордику	Якубовича	1
М.Б. Черномордику	личном	1
Г.Б. Синани-	Якубовича	1
Г.Б. Синани-	личном	1
Якубовича	личном	1
Б.А. Васильева	М.Б. Черномордику	1
Б.А. Васильева	Г.Б. Синани-	1
Б.А. Васильева	обстоятельствах	1
Б.А. Васильева	Коминтерн	1
М.Б. Черномордику	обстоятельствах	1
Коминтерн	М.Б. Черномордику	1
Г.Б. Синани-	обстоятельствах	1
Г.Б. Синани-	Коминтерн	1
Коминтерн	обстоятельствах	1
Г.Г. Ягоды	Д.С. Азбеля	1
ИККИ	закрытого	1
лиц	фонда	1
Е.Д. Соколовой	качестве	1
П.Ф. Зайцева	недостатках	1
Ежов	недостатках	1
А.Я. Свердлова	Агранов	1
Ежов	С.Н. Цыбульника	1
С.Н. Цыбульника	наличии	1
С.Н. Цыбульника	аппарате	1
С.Н. Цыбульника	элемента	1
Ежов	наличии	1
Ежов	элемента	1
аппарате	наличии	1
наличии	элемента	1
аппарате	элемента	1
А.С. Куклина	А.Я. Вышинского	1
А.С. Куклина	Сталин	1
Агранов	Д.С. Азбеля	1
Е.Ф. Ермолаевой	Ежов	1
Агранов	Н.Б. Розенфельда	1
Агранов	Л.Я. Нехамкина	1
Ежов	Л.Я. Нехамкина	1
Г.Б. Синани-	исключении	1
Г.Б. Синани-	заседания	1
Г.Б. Синани-	вопросу	1
вопросу	заседания	1
Каменев	Н.А. Розенфельд	1
Е.К. Мухановой	Каменев	1
Союза	личного	1
Д.С. Тайца	М.И. Гая	1
М.И. Гая	связях	1
Д.С. Тайца	связях	1
В.Д. Вуйовича	Г.Г. Ягоде	1
К.Е. Ворошилова	Сталин	1
К.Е. Ворошилова	М.И. Кащеева	1
К.Е. Ворошилова	оппозиционной	1
М.И. Кащеева	Сталин	1
Сталин	оппозиционной	1
М.И. Кащеева	оппозиционной	1
Е.К. Мухановой	номера	1
Г.Г. Ягоды	Н.А. Розенфельд	1
КПК	М.М. Харитонова	1
Г.Г. Ягоды	при	1
Сталин	при	1
С.В. Мрачковского	при	1
Ленинграде	делу	1
выселению	семей	1
Членов	выселению	1
В.Г. Дорошина	Г.Г. Ягоды	1
В.Г. Дорошина	Сталин	1
статистической	ходе	1
семей	статистической	1
делам	статистической	1
Членов	статистической	1
А.И. Синелобова	Агранов	1
А.И. Синелобова	Сталин	1
приговору	родственников	1
А.М. Горькому	Зиновьев	1
Г.М. Маленкова	Сталин	1
Г.М. Маленкова	Л.М. Кагановичу	1
Г.М. Маленкова	К.С. Модебадзе	1
Г.М. Маленкова	поведении	1
Г.М. Маленкова	Франции	1
К.С. Модебадзе	Сталин	1
Сталин	поведении	1
Сталин	Франции	1
К.С. Модебадзе	Л.М. Кагановичу	1
Л.М. Кагановичу	поведении	1
Л.М. Кагановичу	Франции	1
К.С. Модебадзе	поведении	1
К.С. Модебадзе	Франции	1
Франции	поведении	1
Г.Г. Ягоды	К.Е. Ворошилову	1
Г.Г. Ягоды	обыске	1
К.Е. Ворошилову	Сталин	1
Сталин	обыске	1
К.Е. Ворошилову	С.В. Мрачковского	1
С.В. Мрачковского	обыске	1
К.Е. Ворошилову	обыске	1
Зиновьев	активных	1
Г.Б. Синани-	Д.З. Мануильскому	1
В.Г. Лукина	Управление	1
В.Г. Лукина	Ленинградской	1
Ленинградской	Управление	1
П.А. Залуцкого	Сталин	1
Л.М. Кагановичу	Т.И. Глебовой	1
арестованных	состоянию	1
Агранов	Я.Р. Ельковича	1
А.Е. Авдеевой	Е.С. Мишаковой	1
Е.С. Мишаковой	качестве	1
Г.Г. Ягоды	М.С. Жалыбиной-	1
Г.Г. Ягоды	качестве	1
М.С. Жалыбиной-	Сталин	1
Сталин	качестве	1
М.С. Жалыбиной-	качестве	1
А.М. Горькому	Каменев	1
