person	organization	document_count	person_total_documents	share_of_person_documents
Смирнов	ГУГБ	4	10	0.4
Смирнов	Правда	4	10	0.4
Сокольников	Политбюро	4	18	0.2222
Сталин	КПК при ЦК ВКП(б)	4	520	0.0077
Т.И. Глебовой	ВКП(б)	4	9	0.4444
Т.И. Глебовой	НКВД	4	9	0.4444
Членов	ГУГБ	4	14	0.2857
Членов	ЦК ВКП(б)	4	14	0.2857
Э.С. Гольцмана	ВКП(б)	4	4	1.0
Я.А. Лившица	ВКП(б)	4	4	1.0
Я.А. Лившица	ЦК ВКП(б)	4	4	1.0
Я.В. Шарова	ВКП(б)	4	5	0.8
А.А. Андрееву	ВКП(б)	3	3	1.0
А.А. Андрееву	ЦК ВКП(б)	3	3	1.0
А.А. Докучаева	ВКП(б)	3	3	1.0
А.А. Докучаева	ГУГБ	3	3	1.0
А.А. Докучаева	ЦК ВКП(б)	3	3	1.0
А.А. Трояновского	НКИД	3	4	0.75
А.А. Трояновского	Политбюро	3	4	0.75
А.А. Шестова	ЦК ВКП(б)	3	5	0.6
А.Г. Колодина	ГУГБ	3	4	0.75
А.Г. Колодина	ЦК ВКП(б)	3	4	0.75
А.Е. Авдеевой	ГУГБ	3	3	1.0
А.И. Биркенгофа	ВКП(б)	3	3	1.0
А.И. Биркенгофа	ГУГБ	3	3	1.0
А.И. Кармалитова	ВКП(б)	3	3	1.0
А.И. Коновой	ВКП(б)	3	3	1.0
А.И. Коновой	ГУГБ	3	3	1.0
А.И. Синелобова	ВКП(б)	3	3	1.0
А.И. Синелобова	ГУГБ	3	3	1.0
А.И. Синелобова	НКВД	3	3	1.0
А.К. Середохина	ВКП(б)	3	3	1.0
А.К. Середохина	ЦК ВКП(б)	3	3	1.0
А.М. Гертика	ВКП(б)	3	11	0.2727
А.С. Куклина	ГУГБ	3	7	0.4286
А.Х. Кантора	ВКП(б)	3	3	1.0
А.Х. Кантора	ГУГБ	3	3	1.0
А.Ю. Тивеля	Коминтерн	3	5	0.6
А.Ю. Тивеля	НКВД	3	5	0.6
Астров	Политбюро	3	8	0.375
Б.Г. Козелева	ВКП(б)	3	3	1.0
Б.Г. Козелева	ГУГБ	3	3	1.0
Б.Г. Козелева	ЦК ВКП(б)	3	3	1.0
Б.И. Кузьмичева	ВКП(б)	3	3	1.0
Б.И. Кузьмичева	ЦК ВКП(б)	3	3	1.0
Б.Л. Браво	ВКП(б)	3	9	0.3333
Б.Л. Браво	Правда	3	9	0.3333
Б.М. Оберталлера	ВКП(б)	3	3	1.0
Б.М. Оберталлера	ЦК ВКП(б)	3	3	1.0
Б.Н. Розенфельда	Политбюро	3	5	0.6
Бухарин	ГУГБ	3	73	0.0411
Бухарин	КПК	3	73	0.0411
В.А. Тер-Ваганян	ВКП(б)	3	3	1.0
В.А. Тер-Ваганян	ЦК ВКП(б)	3	3	1.0
В.В. Кузьмина	Правда	3	7	0.4286
В.В. Румянцевым	ГУГБ	3	3	1.0
В.В. Шмидта	Политбюро	3	4	0.75
В.В. Шмидта	Правда	3	4	0.75
В.В. Шмидта	ЦК ВКП(б)	3	4	0.75
В.Г. Белова	ВКП(б)	3	3	1.0
В.Г. Белова	ГУГБ	3	3	1.0
В.Г. Дорошина	Политбюро	3	4	0.75
В.Г. Яковенко	ВКП(б)	3	3	1.0
В.Г. Яковенко	ГУГБ	3	3	1.0
В.Г. Яковенко	НКВД	3	3	1.0
В.Г. Яковенко	ЦК ВКП(б)	3	3	1.0
В.Д. Каспаровой	ВКП(б)	3	3	1.0
В.Д. Каспаровой	ГУГБ	3	3	1.0
