person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
Е.В. Цетлина	20	22781	1933-03-04T15:56:45	1936-12-22T00:29:00	party_context | international_context | trial_role_context | political_label_context	party_apparatus:15 | international:5 | state_apparatus:5 | security_apparatus:1 | press_media:1	ВКП(б):15 | ЦК ВКП(б):14 | Совнарком:5 | ИККИ:3 | КПК:2 | Коминтерн:2 | НКВД:1 | ГУГБ:1 | Политбюро:1 | Правда:1	секретарь:8 | следователь:7 | заместитель:3 | комиссар:3 | председатель:3 | адвокат:2 | нарком:2 | начальник:2 | руководитель:1 | редактор:1	свидетель:1	правый:10 | троцкист:1		член:10 | представитель:3 | кандидат:2 | сотрудник:1	statement:10 | special_report:6 | letter:3 | administrative_report:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	ПРЕДЫСТОРИЯ:19 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Рыков	18	132826	1936-08-19T22:12:49	1937-07-19T13:17:20	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:16 | press_media:10 | state_apparatus:9 | security_apparatus:5 | international:2	ВКП(б):16 | ЦК ВКП(б):12 | Совнарком:9 | Политбюро:9 | Правда:8 | Известия:6 | НКВД:4 | Коминтерн:2 | ГУГБ:1	нарком:12 | председатель:10 | секретарь:9 | комиссар:7 | следователь:7 | начальник:6 | руководитель:6 | наркомвнудел:5 | редактор:4 | адвокат:4	подсудимый:7 | свидетель:5 | обвиняемый:4	правый:16 | троцкист:15	агент:6 | вредитель:6	член:14 | кандидат:8 | представитель:6 | сотрудник:3	session_transcript:6 | special_report:3 | letter:3 | statement:2 | memo_note:2 | speech:1 | draft_project:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:11 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:7 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:6 | ДРУГИЕ ДОКУМЕНТЫ:5	cooccurrence_profile_not_biographical_claim
Сокольников	18	28690	1934-12-23T00:00:00	1937-02-04T10:49:23	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:17 | security_apparatus:13 | press_media:8 | state_apparatus:3 | international:1	ВКП(б):16 | ЦК ВКП(б):16 | НКВД:12 | ГУГБ:12 | Известия:8 | Политбюро:4 | НКИД:2 | Коминтерн:1 | Совнарком:1 | КПК:1	секретарь:14 | нарком:13 | комиссар:12 | руководитель:5 | посол:3 | председатель:3 | редактор:3 | корреспондент:2 | заместитель:2 | прокурор:2	обвиняемый:3	троцкист:16 | правый:14	агент:1	член:12 | представитель:9 | кандидат:6 | сотрудник:3	special_report:12 | interrogation_protocol:3 | letter:2 | confrontation_protocol:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:15 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | БУХАРИН:1	cooccurrence_profile_not_biographical_claim
Дмитриев	17	22493	1934-12-24T05:00:00	1936-09-14T02:36:00	security_context | party_context | investigation_document_context | trial_role_context | political_label_context	party_apparatus:11 | security_apparatus:9 | state_apparatus:3 | press_media:3 | international:2 | judicial_apparatus:2	ВКП(б):11 | ГУГБ:9 | ЦК ВКП(б):7 | Правда:3 | НКИД:2 | Коминтерн:2 | Политбюро:1 | Известия:1 | ИНО ГУГБ:1 | ЦИК СССР:1	начальник:10 | секретарь:9 | комиссар:8 | директор:7 | нарком:4 | руководитель:4 | председатель:3 | заместитель:2 | следователь:1 | прокурор:1	обвиняемый:1	троцкист:13 | правый:2		член:14 | представитель:1 | кандидат:1	interrogation_protocol:11 | special_report:4 | memo_note:1 | letter:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:9 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:16 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Н.А. Розенфельд	16	13198	1935-02-12T05:35:00	1935-04-27T00:10:00	security_context | party_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:15 | party_apparatus:8 | state_apparatus:1 | press_media:1	ГУГБ:15 | НКВД:11 | ВКП(б):8 | ЦК ВКП(б):5 | ЦИК СССР:1 | Известия:1 | КПК:1 | Политбюро:1	секретарь:7 | комиссар:6 | руководитель:3 | посол:3 | председатель:1 | редактор:1	подсудимый:1 | обвиняемый:1	троцкист:13 | правый:1		член:13 | сотрудник:10	interrogation_protocol:8 | special_report:5 | confrontation_protocol:2 | reference_note:1	КРЕМЛЕВСКОЕ ДЕЛО:16	МАТЕРИАЛЫ СЛЕДСТВИЯ:15 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	cooccurrence_profile_not_biographical_claim
Г.Е. Евдокимова	14	13224	1934-12-14T02:00:00	1936-08-14T04:10:00	security_context | party_context | international_context | investigation_document_context | trial_role_context | political_label_context | accusatory_label_context	security_apparatus:7 | international:5 | party_apparatus:5	ГУГБ:7 | НКВД:6 | Коминтерн:5 | ВКП(б):4 | Политбюро:3 | ЦК ВКП(б):3	нарком:5 | секретарь:2 | директор:2 | председатель:2 | посол:1 | комиссар:1 | начальник:1 | прокурор:1 | руководитель:1	обвиняемый:1	троцкист:9 | правый:4	агент:1	член:8 | сотрудник:1 | представитель:1	interrogation_protocol:8 | testimony:4 | letter:1 | special_report:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:13 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Членов	14	12991	1927-12-18T07:56:18	1937-03-07T15:27:20	security_context | party_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:12 | security_apparatus:12 | press_media:2 | international:1 | state_apparatus:1	ВКП(б):12 | НКВД:10 | ГУГБ:4 | ЦК ВКП(б):4 | Правда:2 | Известия:1 | Коминтерн:1 | НКИД:1 | ИНО ГУГБ:1	нарком:8 | секретарь:6 | наркомвнудел:5 | комиссар:3 | руководитель:3 | заместитель:2 | редактор:2 | адвокат:2 | полпред:2 | корреспондент:1	обвиняемый:1	троцкист:4 | правый:3	агент:1	член:14 | представитель:2 | сотрудник:1	summary:7 | special_report:3 | statement:1 | reference_note:1 | memo_note:1 | interrogation_protocol:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	ДРУГИЕ ДОКУМЕНТЫ:11 | МАТЕРИАЛЫ СЛЕДСТВИЯ:2 | БУХАРИН:1	cooccurrence_profile_not_biographical_claim
В.А. Балицкого	13	9204	1935-12-05T02:28:10	1936-09-20T16:59:17	security_context | party_context | trial_role_context | political_label_context	party_apparatus:11 | security_apparatus:11 | state_apparatus:1	ВКП(б):11 | ЦК ВКП(б):11 | НКВД:11 | ГУГБ:4 | Совнарком:1	секретарь:8 | комиссар:7 | руководитель:6 | председатель:4 | директор:4 | начальник:3 | нарком:3 | заместитель:2 | судья:2 | адвокат:1	обвиняемый:2	троцкист:13 | правый:1		член:9 | сотрудник:2	memo_note:6 | special_report:4 | telegram:2 | letter:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:11 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:13	cooccurrence_profile_not_biographical_claim
Е.К. Мухановой	13	14945	1935-02-10T01:00:00	1935-04-27T00:10:00	security_context | party_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:12 | party_apparatus:10 | press_media:2 | international:1 | state_apparatus:1	ГУГБ:12 | ВКП(б):10 | ЦК ВКП(б):3 | НКВД:3 | Политбюро:3 | Правда:2 | Коминтерн:1 | ЦИК СССР:1 | КПК:1	секретарь:6 | директор:5 | редактор:5 | комиссар:3 | посол:3 | нарком:2 | руководитель:1 | начальник:1	обвиняемый:3	троцкист:5		сотрудник:6 | член:6 | кандидат:1	interrogation_protocol:7 | confrontation_protocol:3 | special_report:2 | reference_note:1	КРЕМЛЕВСКОЕ ДЕЛО:13	МАТЕРИАЛЫ СЛЕДСТВИЯ:12 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	cooccurrence_profile_not_biographical_claim
И.И. Котолынова	13	3519	1934-12-06T06:01:00	1934-12-26T00:00:00	security_context | party_context | investigation_document_context | political_label_context	security_apparatus:11 | party_apparatus:5	ГУГБ:10 | ВКП(б):5 | НКВД:4	руководитель:5		троцкист:4		член:7	interrogation_protocol:13	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:13	МАТЕРИАЛЫ СЛЕДСТВИЯ:13	cooccurrence_profile_not_biographical_claim
И.П. Бакаева	13	19263	1934-12-14T01:00:00	1936-08-14T06:10:00	security_context | party_context | press_context | international_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:11 | party_apparatus:10 | international:6 | press_media:5 | state_apparatus:3 | judicial_apparatus:1	ВКП(б):10 | ГУГБ:10 | НКВД:8 | ЦК ВКП(б):7 | Правда:5 | Коминтерн:4 | ИККИ:3 | Политбюро:2 | ЦИК СССР:2 | Совнарком:1	комиссар:6 | секретарь:5 | председатель:4 | директор:3 | руководитель:3 | начальник:1 | прокурор:1 | заместитель:1 | нарком:1	обвиняемый:1	троцкист:8 | правый:7		член:12 | представитель:1 | кандидат:1	interrogation_protocol:9 | special_report:3 | statement:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	МАТЕРИАЛЫ СЛЕДСТВИЯ:13	cooccurrence_profile_not_biographical_claim
А.И. Анишева	12	8055	1934-12-27T04:00:00	1935-01-11T01:00:00	international_context | investigation_document_context | trial_role_context | political_label_context	international:4 | party_apparatus:2 | state_apparatus:1 | press_media:1 | security_apparatus:1	Коминтерн:4 | ВКП(б):2 | Известия:1 | ЦИК СССР:1 | Правда:1 | ЦК ВКП(б):1 | НКВД:1	комиссар:1 | начальник:1 | председатель:1 | редактор:1 | секретарь:1	обвиняемый:2	троцкист:5 | правый:3		член:9 | представитель:2	interrogation_protocol:9 | testimony:3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12	МАТЕРИАЛЫ СЛЕДСТВИЯ:12	cooccurrence_profile_not_biographical_claim
В.В. Румянцева	12	7139	1928-06-30T07:57:59	1934-12-20T02:00:00	security_context | party_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:10 | party_apparatus:6 | international:2	ГУГБ:9 | ВКП(б):6 | НКВД:4 | ЦК ВКП(б):2 | Политбюро:2 | Коминтерн:2	секретарь:4 | руководитель:3 | директор:2 | комиссар:1 | нарком:1	обвиняемый:1	троцкист:7 | правый:2		член:6 | сотрудник:1 | представитель:1	interrogation_protocol:10 | letter:2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	МАТЕРИАЛЫ СЛЕДСТВИЯ:11 | СПРАВКИ КПК И ИМЛ:1	cooccurrence_profile_not_biographical_claim
Г.Б. Синани-Скалов	12	24002	1933-06-04T11:39:19	1936-04-25T14:02:00	party_context | international_context | political_label_context | accusatory_label_context	international:10 | party_apparatus:6 | security_apparatus:4 | state_apparatus:2 | judicial_apparatus:1 | press_media:1	ИККИ:9 | Коминтерн:7 | ВКП(б):6 | ГУГБ:4 | ЦК ВКП(б):3 | НКВД:1 | Верховный Суд СССР:1 | ОО ГУГБ НКВД:1 | Политбюро:1 | Правда:1	секретарь:6 | комиссар:5 | заместитель:4 | руководитель:3 | директор:3 | полпред:3 | нарком:3 | начальник:3 | председатель:3 | посол:1		троцкист:6 | правый:2	вредитель:1 | агент:1	член:6 | кандидат:3 | сотрудник:3 | представитель:3	memo_note:2 | letter:2 | special_report:2 | session_transcript:2 | interrogation_protocol:1 | search_protocol:1 | decree_resolution:1 | autobiography:1	КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	Г.Б. СИНАНИ-СКАЛОВ:9 | МАТЕРИАЛЫ СЛЕДСТВИЯ:3	cooccurrence_profile_not_biographical_claim
Г.Ф. Попова	12	2851	1934-12-15T00:00:00	1935-01-04T15:00:00	security_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:8 | party_apparatus:2	ГУГБ:8 | НКВД:4 | ВКП(б):2	руководитель:2 | следователь:1 | начальник:1 | директор:1	обвиняемый:3	троцкист:5		член:8	interrogation_protocol:8 | confrontation_protocol:3 | statement:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:12	cooccurrence_profile_not_biographical_claim
И.С. Горшенина	12	8513	1934-12-14T04:00:00	1935-01-20T01:00:00	party_context | international_context | investigation_document_context | trial_role_context | political_label_context	party_apparatus:12 | international:5 | state_apparatus:1	ВКП(б):12 | ЦК ВКП(б):11 | Коминтерн:5 | Политбюро:5 | ИККИ:1 | ЦИК СССР:1	руководитель:4 | редактор:3 | секретарь:3 | начальник:2 | прокурор:2 | нарком:2 | председатель:1 | директор:1	обвиняемый:1	троцкист:5 | правый:2		член:11 | сотрудник:2	interrogation_protocol:11 | statement:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12	МАТЕРИАЛЫ СЛЕДСТВИЯ:12	cooccurrence_profile_not_biographical_claim
А.М. Гертика	11	6540	1934-12-10T00:22:00	1936-09-01T02:36:00	security_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:8 | party_apparatus:4 | international:1	ГУГБ:8 | НКВД:4 | ВКП(б):3 | ЦК ВКП(б):2 | Коминтерн:1 | Политбюро:1 | ИНО ГУГБ:1	руководитель:3 | секретарь:2 | судья:1 | нарком:1 | комиссар:1	обвиняемый:3	троцкист:4 | правый:1		член:8 | представитель:1 | сотрудник:1	interrogation_protocol:6 | confrontation_protocol:3 | testimony:1 | special_report:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:11	cooccurrence_profile_not_biographical_claim
И.И. Рейнгольда	11	25768	1934-12-18T09:00:00	1936-08-16T00:10:00	security_context | party_context | international_context | investigation_document_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:11 | security_apparatus:11 | international:8 | state_apparatus:2 | judicial_apparatus:1 | press_media:1	ГУГБ:11 | ВКП(б):10 | НКВД:9 | ЦК ВКП(б):9 | Коминтерн:8 | Политбюро:7 | Совнарком:2 | Верховный Суд СССР:1 | Известия:1 | Правда:1	нарком:9 | секретарь:8 | комиссар:8 | руководитель:7 | заместитель:6 | начальник:6 | председатель:4 | полпред:4 | директор:2 | посол:1	обвиняемый:3 | свидетель:2	троцкист:10 | правый:6	агент:1	член:11 | сотрудник:2 | кандидат:1 | представитель:1	special_report:7 | interrogation_protocol:4	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:11	cooccurrence_profile_not_biographical_claim
Л.М. Каганович	11	8913	1932-10-04T15:20:04	1937-01-30T13:02:35	party_context | international_context | correspondence_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:11 | security_apparatus:3 | international:3 | press_media:2	ВКП(б):11 | ЦК ВКП(б):10 | Коминтерн:3 | ГУГБ:2 | НКВД:2 | Правда:2 | Политбюро:2 | КПК при ЦК ВКП(б):1 | КПК:1 | ИККИ:1	секретарь:9 | нарком:4 | председатель:4 | комиссар:3 | заместитель:2 | начальник:2 | редактор:2 | директор:2 | руководитель:2 | полпред:1	свидетель:1	троцкист:8 | правый:1	агент:1	член:8 | сотрудник:2 | кандидат:1 | представитель:1	memo_note:4 | letter:4 | statement:2 | special_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	ДРУГИЕ ДОКУМЕНТЫ:6 | МАТЕРИАЛЫ СЛЕДСТВИЯ:5	cooccurrence_profile_not_biographical_claim
М.К. Чернявского	11	14760	1935-03-06T00:32:00	1935-04-17T05:00:00	security_context | party_context | investigation_document_context | political_label_context | accusatory_label_context	party_apparatus:11 | security_apparatus:11	ВКП(б):11 | ГУГБ:11 | НКВД:11 | ЦК ВКП(б):4	начальник:5 | комиссар:5 | нарком:5 | секретарь:4 | руководитель:2 | директор:1		троцкист:11 | правый:1	агент:1	член:10 | сотрудник:2	interrogation_protocol:7 | special_report:4	КРЕМЛЕВСКОЕ ДЕЛО:11	МАТЕРИАЛЫ СЛЕДСТВИЯ:11	cooccurrence_profile_not_biographical_claim
М.М. Харитонова	11	4923	1934-12-22T06:00:00	1935-03-12T11:01:21	security_context | party_context | investigation_document_context | political_label_context	party_apparatus:8 | security_apparatus:6 | international:2	ВКП(б):8 | ЦК ВКП(б):6 | ГУГБ:4 | НКВД:3 | Коминтерн:2 | КПК при ЦК ВКП(б):1 | КПК:1	секретарь:3 | комиссар:2 | председатель:2 | следователь:1		правый:3 | троцкист:3		член:5	interrogation_protocol:5 | special_report:2 | statement:2 | letter:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:11	МАТЕРИАЛЫ СЛЕДСТВИЯ:9 | ДРУГИЕ ДОКУМЕНТЫ:2	cooccurrence_profile_not_biographical_claim
Н.В. Голубенко	11	17948	1936-08-09T00:10:00	1936-10-16T22:00:10	security_context | party_context | press_context | investigation_document_context | trial_role_context | political_label_context	party_apparatus:9 | security_apparatus:9 | press_media:3 | state_apparatus:1	ВКП(б):9 | ГУГБ:6 | НКВД:6 | ЦК ВКП(б):5 | Правда:3 | Совнарком:1	комиссар:7 | секретарь:7 | нарком:6 | заместитель:5 | руководитель:5 | председатель:4 | директор:3 | начальник:3 | редактор:1	обвиняемый:2	троцкист:10 | правый:3		член:8 | кандидат:3	interrogation_protocol:5 | telegram:2 | special_report:2 | memo_note:1 | letter:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:11	МАТЕРИАЛЫ СЛЕДСТВИЯ:11	cooccurrence_profile_not_biographical_claim
А.Я. Вышинский	10	12440	1935-03-22T13:14:00	1937-01-24T14:26:11	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:10 | security_apparatus:5 | press_media:4 | judicial_apparatus:1	ВКП(б):9 | ЦК ВКП(б):8 | НКВД:5 | Правда:4 | ГУГБ:2 | Политбюро:1 | КПК:1 | Прокуратура СССР:1	прокурор:7 | руководитель:4 | секретарь:3 | комиссар:2 | следователь:2 | директор:1 | нарком:1 | начальник:1 | председатель:1	обвиняемый:4 | свидетель:2 | подсудимый:2	троцкист:9 | правый:5	вредитель:2	член:4 | представитель:2	administrative_report:3 | letter:2 | special_report:2 | interrogation_protocol:1 | plan_instruction:1 | draft_project:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:5 | ДРУГИЕ ДОКУМЕНТЫ:3 | БУХАРИН:1 | СПРАВКА:1	cooccurrence_profile_not_biographical_claim
Н.С. Антонова	10	1860	1934-12-09T05:11:00	1934-12-22T01:00:00	security_context | investigation_document_context | political_label_context	security_apparatus:10 | party_apparatus:4	ГУГБ:10 | ВКП(б):4 | НКВД:3	секретарь:2 | директор:1 | руководитель:1		троцкист:2		член:6	interrogation_protocol:10	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10	МАТЕРИАЛЫ СЛЕДСТВИЯ:10	cooccurrence_profile_not_biographical_claim
П.А. Николаева	10	6257	1934-12-03T01:41:43	1934-12-14T01:20:46	security_context | investigation_document_context | political_label_context	security_apparatus:9 | party_apparatus:4	ГУГБ:9 | НКВД:8 | ВКП(б):4 | ОО ГУГБ НКВД:4 | ЦК ВКП(б):1	комиссар:2 | директор:1 | заместитель:1 | председатель:1 | секретарь:1		правый:1		член:1	interrogation_protocol:10	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10	ДЕЛО ПЕТРА НИКОЛАЕВА:10	cooccurrence_profile_not_biographical_claim
Смирнов	10	33838	1929-07-11T12:33:25	1936-08-23T18:39:00	security_context | party_context | press_context | international_context | political_label_context | accusatory_label_context	party_apparatus:8 | security_apparatus:5 | press_media:4 | international:3 | state_apparatus:1	ВКП(б):8 | ЦК ВКП(б):6 | ГУГБ:4 | Правда:4 | НКВД:3 | Коминтерн:3 | ИККИ:1 | Известия:1 | ЦИК СССР:1 | Политбюро:1	комиссар:3 | секретарь:3 | нарком:3 | руководитель:3 | редактор:2 | начальник:2 | адвокат:1 | директор:1 | председатель:1		троцкист:9 | правый:4	агент:2	член:5 | кандидат:3 | сотрудник:2 | представитель:2	special_report:4 | letter:2 | statement:2 | testimony:1 | interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:10	МАТЕРИАЛЫ СЛЕДСТВИЯ:7 | ДРУГИЕ ДОКУМЕНТЫ:3	cooccurrence_profile_not_biographical_claim
