person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
А.А. Абрамова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.А. Антипиной	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.А. Гардин-Гейер	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.А. Жданову	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.А. Израилитина	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.А. Карпова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.А. Нелидовой	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.А. Орловой	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.А. Табанакова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.В. Бочарова	1	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.В. Дзедзиевского	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.В. Перимовым	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.В. Травиной	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Г. Егорова	1	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.Г. Корчагиной	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.Г. Шляпникова	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.Д. Арефьевым	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Д. Бронштейне	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.З. Волкова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Анишевым	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.И. Бриггиса	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Витковского	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Гальперина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Емшанова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Зильбермана	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.И. Муралова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Мячиной	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.И. Никитинской	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.И. Рамм-Пфемферт	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.И. Толмазовым	1	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.И. Уварова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.К. Бормана	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.К. Дрожжина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.К. Язовских	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Л. Голоступеца	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.Л. Леонтьева	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Аркус	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Березина	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.М. Кашкина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Луцука	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Непомнящего	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Попова	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.М. Сосипатрова	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.М. Ясюкевича	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Н. Барулина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Н. Бурова	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Н. Маевского	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Н. Панова	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.Н. Поскребышеву	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
А.Н. Слепковым	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Н. Фокина	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.О. Альского	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.О. Голлендера	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.П. Дьячкова	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
А.П. Метальникова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.П. Удалова	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.С. Булину	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.С. Оввян	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Ф. Кошелева	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Ф. Ульянова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Я. Аросеве	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
А.Я. Юскиной	1	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
Б.А. Васильева	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
Б.А. Двинскому	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Г. Мдивани	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Д. Берману	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Е. Алдаданова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Е. Барского	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.З. Ливянта	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
Б.Л. Колесникова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Л. Лопатинского	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
Б.М. Беккера	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.О. Норкина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.П. Нестерова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.П. Нестеровым	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.С. Рабиновича	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Б.Э. Раткая	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.А. Антонов-Овсеенко	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.А. Ваганяна	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.А. Сорокина	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
В.А. Финашина	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.В. Ломинадзе	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
В.В. Румянцнева	1	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
В.В. Ульриху	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Г. Лукина	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
В.Д. Вуйовичем	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
В.Д. Томленова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Е. Цесарского	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
В.И. Демченко	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.И. Клюшенкова	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.К. Жарикова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.К. Клейна	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
В.К. Путны	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.К. Сотскова	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
В.Л. Горохова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.М. Меерсона	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.М. Мулина	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Н. Гутман	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Н. Слепкова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.П. Второва	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.П. Шевелев-Лубков	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Ф. Бейтельспахера	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Ф. Захариной	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Ф. Логиновым	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Ф. Степанова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
В.Я. Родака	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.А. Абрамова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.А. Татулова	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.А. Татуловым	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.Б. Берндта	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.Б. Либермана	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
Г.Г. Матитайшвили	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.Д. Арсентьева	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.Е. Меерсона	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.И. Исаева	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
Г.И. Миронова	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
Г.И. Серебряковой	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.К. Фельдмана	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.М. Дрязгова	1	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:1	process_profile_from_document_cooccurrence
Г.М. Ивановой	1	1	1	КРЕМЛЕВСКОЕ ДЕЛО	1	1.0	КРЕМЛЕВСКОЕ ДЕЛО:1	related_case:1	process_profile_from_document_cooccurrence
Г.М. Маленкова	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.М. Маленкову	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.М. Сыроквашева	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.П. Адамяна	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.П. Вяткина	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.Р. Николаева	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.С. Биткера	1	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Г.С. Герасимато	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
