person	organization_count	top_organizations	top_families	total_pair_document_sum
Г.И. Сафарова	10	ГУГБ:27 | НКВД:26 | Коминтерн:15 | ВКП(б):8 | ЦК ВКП(б):4 | Правда:3 | Совнарком:3 | ИККИ:2 | Верховный Суд СССР:1 | Политбюро:1	security_apparatus:53 | international:17 | party_apparatus:13 | state_apparatus:3 | press_media:3 | judicial_apparatus:1	90
Каменев	11	ВКП(б):16 | ГУГБ:13 | НКВД:13 | ЦК ВКП(б):11 | Правда:7 | Коминтерн:5 | Политбюро:5 | Известия:3 | КПК:3 | Совнарком:1	party_apparatus:35 | security_apparatus:26 | press_media:10 | international:5 | state_apparatus:2	78
Пятаков	10	ВКП(б):20 | ЦК ВКП(б):19 | ГУГБ:14 | Правда:6 | Известия:5 | НКВД:4 | Политбюро:3 | Коминтерн:2 | Совнарком:2 | Верховный Суд СССР:1	party_apparatus:42 | security_apparatus:18 | press_media:11 | state_apparatus:2 | international:2 | judicial_apparatus:1	76
Сокольников	11	ВКП(б):16 | ЦК ВКП(б):16 | ГУГБ:12 | НКВД:12 | Известия:8 | Политбюро:4 | НКИД:2 | КПК:1 | Коминтерн:1 | Правда:1	party_apparatus:37 | security_apparatus:24 | press_media:9 | state_apparatus:3 | international:1	74
Рыков	9	ВКП(б):16 | ЦК ВКП(б):12 | Политбюро:9 | Совнарком:9 | Правда:8 | Известия:6 | НКВД:4 | Коминтерн:2 | ГУГБ:1	party_apparatus:37 | press_media:14 | state_apparatus:9 | security_apparatus:5 | international:2	67
И.И. Рейнгольда	10	ГУГБ:11 | ВКП(б):10 | НКВД:9 | ЦК ВКП(б):9 | Коминтерн:8 | Политбюро:7 | Совнарком:2 | Верховный Суд СССР:1 | Известия:1 | Правда:1	party_apparatus:26 | security_apparatus:20 | international:8 | state_apparatus:2 | press_media:2 | judicial_apparatus:1	59
И.П. Бакаева	11	ВКП(б):10 | ГУГБ:10 | НКВД:8 | ЦК ВКП(б):7 | Правда:5 | Коминтерн:4 | ИККИ:3 | Политбюро:2 | ЦИК СССР:2 | Верховный Суд СССР:1	party_apparatus:19 | security_apparatus:18 | international:7 | press_media:5 | state_apparatus:3 | judicial_apparatus:1	53
Е.В. Цетлина	10	ВКП(б):15 | ЦК ВКП(б):14 | Совнарком:5 | ИККИ:3 | КПК:2 | Коминтерн:2 | ГУГБ:1 | НКВД:1 | Политбюро:1 | Правда:1	party_apparatus:32 | state_apparatus:5 | international:5 | security_apparatus:2 | press_media:1	45
Н.А. Розенфельд	8	ГУГБ:15 | НКВД:11 | ВКП(б):8 | ЦК ВКП(б):5 | Известия:1 | КПК:1 | Политбюро:1 | ЦИК СССР:1	security_apparatus:26 | party_apparatus:15 | state_apparatus:1 | press_media:1	43
Дмитриев	12	ВКП(б):11 | ГУГБ:9 | ЦК ВКП(б):7 | Правда:3 | Коминтерн:2 | НКИД:2 | Верховный Суд СССР:1 | ИНО ГУГБ:1 | Известия:1 | Политбюро:1	party_apparatus:19 | security_apparatus:10 | press_media:4 | state_apparatus:3 | international:2 | judicial_apparatus:2	40
В.А. Балицкого	5	ВКП(б):11 | НКВД:11 | ЦК ВКП(б):11 | ГУГБ:4 | Совнарком:1	party_apparatus:22 | security_apparatus:15 | state_apparatus:1	38
Г.Б. Синани-Скалов	13	ИККИ:9 | Коминтерн:7 | ВКП(б):6 | ГУГБ:4 | ЦК ВКП(б):3 | Верховный Суд СССР:1 | КПК:1 | НКВД:1 | НКИД:1 | ОО ГУГБ НКВД:1	international:16 | party_apparatus:11 | security_apparatus:6 | state_apparatus:2 | judicial_apparatus:1 | press_media:1	37
М.К. Чернявского	4	ВКП(б):11 | ГУГБ:11 | НКВД:11 | ЦК ВКП(б):4	security_apparatus:22 | party_apparatus:15	37
Б.Л. Браво	8	ГУГБ:9 | НКВД:9 | ОО ГУГБ НКВД:9 | ВКП(б):3 | Правда:3 | Коминтерн:1 | НКИД:1 | ЦК ВКП(б):1	security_apparatus:27 | party_apparatus:4 | press_media:3 | state_apparatus:1 | international:1	36
Е.К. Мухановой	9	ГУГБ:12 | ВКП(б):10 | НКВД:3 | Политбюро:3 | ЦК ВКП(б):3 | Правда:2 | КПК:1 | Коминтерн:1 | ЦИК СССР:1	party_apparatus:17 | security_apparatus:15 | press_media:2 | state_apparatus:1 | international:1	36
Членов	9	ВКП(б):12 | НКВД:10 | ГУГБ:4 | ЦК ВКП(б):4 | Правда:2 | ИНО ГУГБ:1 | Известия:1 | Коминтерн:1 | НКИД:1	party_apparatus:16 | security_apparatus:15 | press_media:3 | state_apparatus:1 | international:1	36
И.С. Горшенина	6	ВКП(б):12 | ЦК ВКП(б):11 | Коминтерн:5 | Политбюро:5 | ИККИ:1 | ЦИК СССР:1	party_apparatus:28 | international:6 | state_apparatus:1	35
Л.М. Каганович	10	ВКП(б):11 | ЦК ВКП(б):10 | Коминтерн:3 | ГУГБ:2 | НКВД:2 | Политбюро:2 | Правда:2 | ИККИ:1 | КПК:1 | КПК при ЦК ВКП(б):1	party_apparatus:25 | international:4 | security_apparatus:4 | press_media:2	35
Е.А. Дрейцера	10	ВКП(б):7 | НКВД:7 | ГУГБ:6 | Правда:4 | ЦК ВКП(б):4 | Коминтерн:2 | Известия:1 | КПК:1 | Политбюро:1 | Прокуратура СССР:1	security_apparatus:13 | party_apparatus:13 | press_media:5 | international:2 | judicial_apparatus:1	34
Смирнов	12	ВКП(б):8 | ЦК ВКП(б):6 | ГУГБ:4 | Правда:4 | Коминтерн:3 | НКВД:3 | ИККИ:1 | ИНО ГУГБ:1 | Известия:1 | Политбюро:1	party_apparatus:15 | security_apparatus:8 | press_media:5 | international:4 | state_apparatus:2	34
С.В. Мрачковский	7	ВКП(б):8 | ЦК ВКП(б):7 | ГУГБ:6 | ИНО ГУГБ:4 | НКВД:4 | Политбюро:2 | Правда:2	party_apparatus:17 | security_apparatus:14 | press_media:2	33
М.Ф. Шкирятову	11	ВКП(б):7 | ЦК ВКП(б):6 | ЦИК СССР:5 | КПК:3 | КПК при ЦК ВКП(б):3 | Политбюро:2 | Секретариат ЦИК СССР:2 | НКВД:1 | НКИД:1 | Правда:1	party_apparatus:21 | state_apparatus:9 | press_media:1 | security_apparatus:1	32
