canonical_person_a	canonical_person_b	document_count
Вайсберга	Сталин	1
Ежов	Станкина	1
Сталин	Станкина	1
Двинскому	Петухова	1
Петухова	Туровского	1
Ворошилову	Петухова	1
Двинскому	Туровского	1
Ворошилову	Двинскому	1
Ворошилову	Туровского	1
Ежов	Кашкина	1
Кашкина	Сталин	1
Ежов	Оскольского-	1
Оскольского-	Сталин	1
Агранов	Перлина	1
Перлина	Сталин	1
Ежов	Майера	1
Майера	Сталин	1
Агранов	Островской	1
Островской	Сталин	1
Каганович	Лившица	1
Угланова	Ягода	1
Ежов	Угланова	1
Иоэльсона	Ягода	1
Ежов	Иоэльсона	1
Юлина	Ягода	1
Докучаева	Ягода	1
Агранов	Шмидта	1
Вышинский	Рыков	1
Адунской	Ежов	1
Балицкого	Вайсберга	1
Дмитриев	Москалева	1
Москалева	Пятаков	1
Ежов	Лидака	1
Лидака	Сталин	1
Гуревича	Яковлевой	1
Ежов	Яковлевой	1
Дорофеева	Ягода	1
Ежов	Томского	1
Бухарин	Сокольников	1
Вышинский	Сокольников	1
Яблонской	Ягода	1
Ежов	Яблонской	1
Маленкову	Эйхе	1
Ежов	Эйхе	1
Ежов	Маленкову	1
Сталин	Томской	1
Ежов	Зюка	1
Беккера	Вышинский	1
Вышинский	Мрачковском	1
Беккера	Ежов	1
Ежов	Мрачковском	1
Беккера	Мрачковском	1
Ежов	Смилги	1
Глебовой	Членов	1
Вышинский	Катаняна	1
Генераловой	Катаняна	1
Вышинский	Генераловой	1
Гертика	Ягода	1
Гертика	Сталин	1
Бухарин	Ворошилова	1
Шестова	Ягода	1
Туманова	Ягода	1
Сталин	Туманова	1
Дволайцкого	Ежов	1
Дволайцкого	Молотов	1
Дволайцкого	Поздеевой	1
Дволайцкого	Лурье	1
Ежов	Поздеевой	1
Молотов	Поздеевой	1
Лурье	Молотов	1
Лурье	Поздеевой	1
Булину	Мулина	1
Зиновьев	Радек	1
Каганович	Мехлиса	1
Андрееву	Мехлиса	1
Ежов	Мехлиса	1
Зиновьев	Мехлиса	1
Андрееву	Каганович	1
Андрееву	Ежов	1
Андрееву	Зиновьев	1
Бронштейне	Дмитриев	1
Короп	Смирнов	1
Молотов	Швальбе	1
Каганович	Хрущева	1
Рыков	Хрущева	1
Каганович	Рыков	1
Зюка	Сталин	1
Ежов	Сахова	1
Сахова	Ягода	1
Люшкову	Ягода	1
Люшкову	Сталин	1
Зиновьев	Люшкову	1
Ежов	Серебряковой	1
Каганович	Ягода	1
Каганович	Рейнгольда	1
Пикель	Сталин	1
Мануильскому	Москвину	1
Пятаков	Рейногльда	1
Голубенко	Пятаков	1
Рейногльда	Сталин	1
Голубенко	Рейногльда	1
Евдокимова	Ягода	1
Ежов	Леонтьева	1
Членов	Ягода	1
Аркусом	Ягода	1
Рейнгольдом	Ягода	1
Аркусом	Сталин	1
Рейнгольдом	Сталин	1
Аркусом	Рейнгольдом	1
Ежов	Фридлянда	1
Закса-	Ягода	1
Молотов	Ягода	1
Молотов	Смирнов	1
Молотов	Мрачковский	1
Мрачковский	Смирнов	1
Ежов	Рейнгольда	1
Каревым	Ягода	1
Каревым	Сталин	1
Зиновьев	Каревым	1
Агранов	Антонова	1
Антонова	Ежов	1
Пикеля	Ягода	1
Пикеля	Сталин	1
Агранов	Рейнгольда	1
Агранов	Уварова	1
Ежов	Уварова	1
Агранов	Грюнштейна	1
Грюнштейна	Ежов	1
Бакаевым	Каревым	1
Бык-	Ягода	1
Аркус	Ягода	1
Бык-	Сталин	1
Аркус	Сталин	1
Аркуса	Бык-	1
Аркус	Бык-	1
Бык-	Галкина	1
Аркус	Аркуса	1
Аркуса	Галкина	1
Аркус	Галкина	1
Кузьмичева	Сталин	1
Флакса	Ягода	1
Ежов	Флакса	1
Грюнштейн	Ягода	1
Грюнштейн	Сталин	1
Эстермана	Ягода	1
Сталин	Эстермана	1
Тымянского	Ягода	1
Ежов	Тымянского	1
Ежов	Молчанову	1
Биркенгофом	Ежов	1
Биркенгофа	Молчанову	1
Биркенгофом	Молчанову	1
Биркенгофа	Биркенгофом	1
Печерского	Ягода	1
Печерского	Сталин	1
Колодина	Ягода	1
Ягода	Яковлева	1
Жакова	Ягода	1
Ежов	Жакова	1
Быховского	Прокофьева	1
Бусыгина	Прокофьева	1
Бусыгина	Ежов	1
Андрееву	Орловской-	1
Сафоновой	Смирнов	1
Гуревича	Прокофьева	1
Молчанова	Шабалкина	1
Ежов	Шабалкина	1
Костиной	Молчанова	1
Ежов	Костиной	1
Одыня	Прокофьева	1
Одыня	Сталин	1
Прокофьева	Фуртичева	1
Сталин	Фуртичева	1
Прокофьева	Шкловского	1
Сталин	Шкловского	1
Прокофьева	Фокина	1
Ежов	Фокина	1
Гольцмана	Ягода	1
Гольцмана	Сталин	1
Гуревича	Ягода	1
Масленникова	Ягода	1
Масленникова	Сталин	1
Бочарова	Ягода	1
Альского	Молчанова	1
Альского	Ежов	1
Дмитриев	Сталин	1
Мешковского	Ягода	1
Ежов	Мешковского	1
Ежов	Федотова	1
